rank,molecule_chembl_id,pref_name,pred_pIC50,pred_active_prob,nn_tanimoto_to_potent,nn_potent_id,nn_potent_pIC50,ad_max_sim_to_train,in_domain,pains,consensus_score,first_approval,withdrawn_flag,clean_smiles
1821,CHEMBL33986,BUTORPHANOL,5.262169517066636,0.3072,0.18072289156626506,CHEMBL4872023,8.853871964321762,0.18072289156626506,False,False,0.33315877670716376,1978.0,False,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3
1822,CHEMBL1200500,BECLOMETHASONE DIPROPIONATE,5.536331979924742,0.4266666666666667,0.1485148514851485,CHEMBL4868709,8.6259059864969,0.2,False,False,0.3329493087557604,1976.0,False,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C
1823,CHEMBL738,THIOPENTAL SODIUM,5.625654600947317,0.19786666666666666,0.12195121951219512,CHEMBL5267732,7.602059991327963,0.18,False,False,0.33284457478005863,1982.0,False,CCCC(C)C1(CC)C(=O)[N-]C(=S)NC1=O
1824,CHEMBL645,BISOPROLOL,5.462371536758526,0.18983333333333335,0.15789473684210525,CHEMBL5433736,7.0,0.24489795918367346,False,False,0.3325303728529535,1992.0,False,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
1825,CHEMBL1439,TAZOBACTAM SODIUM,5.43538654462173,0.2652,0.16,CHEMBL5977530,8.177178354696895,0.19753086419753085,False,False,0.3321114369501466,1993.0,False,C[C@]1(Cn2ccnn2)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O
1826,CHEMBL1201054,SELENOMETHIONINE SE 75,5.051294775448291,0.134,0.20634920634920634,CHEMBL5904975,7.531652669587842,0.27906976744186046,False,False,0.3321114369501466,1973.0,False,C[75Se]CC[C@H](N)C(=O)O
1827,CHEMBL2368924,DOLASETRON MESYLATE,5.247586181463978,0.317,0.18309859154929578,CHEMBL4762048,7.468521082957745,0.3103448275862069,True,False,0.3319019689987432,1997.0,False,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12
1828,CHEMBL516,CYPROHEPTADINE,5.185517457903637,0.188,0.19047619047619047,CHEMBL5218729,7.075720713938118,0.34285714285714286,True,False,0.3316925010473397,1961.0,False,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
1829,CHEMBL1200562,HYDROCORTISONE VALERATE,5.524746311417325,0.37,0.14953271028037382,CHEMBL5849411,8.804100347590767,0.20454545454545456,False,False,0.33158776707163806,1978.0,False,CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
1830,CHEMBL127516,BUTAMBEN,4.973628817103021,0.1,0.21428571428571427,CHEMBL4762048,7.468521082957745,0.34782608695652173,True,False,0.3314830330959363,,True,CCCCOC(=O)c1ccc(N)cc1
1831,CHEMBL695,TRIMETHADIONE,5.407526721286571,0.19466666666666668,0.16216216216216217,CHEMBL468547,7.387216143280264,0.20454545454545456,False,False,0.33074989526602433,1946.0,False,CN1C(=O)OC(C)(C)C1=O
