molecule_chembl_id,pref_name,clean_smiles,first_approval,pred_IDO1,pred_TDO2,pred_M,pred_D,LCB_IDO1,LCB_TDO2,LCB_dual,P_dual_active,P_balanced_dual,AD_maxTanimoto,in_domain
CHEMBL36506,NOVOBIOCIN,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,1964.0,6.49,5.43,5.96,1.06,5.06,4.25,4.25,0.155,0.122,0.2,False
CHEMBL175247,ORLISTAT,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,1998.0,5.68,5.46,5.57,0.22,4.25,4.29,4.25,0.099,0.099,0.167,False
CHEMBL691,ETHINYL ESTRADIOL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,1982.0,5.72,5.43,5.58,0.29,4.3,4.25,4.25,0.094,0.094,0.167,False
CHEMBL48449,CANTHARIDIN,C[C@@]12C(=O)OC(=O)[C@]1(C)[C@H]1CC[C@@H]2O1,2023.0,5.76,5.43,5.59,0.33,4.33,4.25,4.25,0.099,0.094,0.189,False
CHEMBL3183453,NOVOBIOCIN SODIUM,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c([O-])c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,1964.0,6.51,5.42,5.97,1.09,5.09,4.25,4.25,0.155,0.122,0.185,False
CHEMBL1201165,QUINESTROL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,1982.0,5.67,5.55,5.61,0.12,4.25,4.38,4.25,0.116,0.116,0.179,False
CHEMBL278623,MACIMORELIN,CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)NC=O,2017.0,5.67,5.49,5.58,0.18,4.24,4.31,4.24,0.105,0.105,0.203,False
CHEMBL188921,BUFLOMEDIL,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,,5.67,5.6,5.63,0.07,4.24,4.42,4.24,0.127,0.127,0.25,False
CHEMBL1256391,PIRFENIDONE,Cc1ccc(=O)n(-c2ccccc2)c1,2011.0,5.66,5.55,5.61,0.11,4.24,4.38,4.24,0.116,0.116,0.277,False
CHEMBL4596392,CRAVACITINIB,CNC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,2022.0,6.87,5.41,6.14,1.46,5.44,4.24,4.24,0.177,0.11,0.333,True
CHEMBL2068864,FLUDEOXYGLUCOSE,OC[C@H]1OC(O)[C@H](F)[C@@H](O)[C@@H]1O,1994.0,5.67,5.59,5.63,0.07,4.24,4.42,4.24,0.127,0.127,0.098,False
CHEMBL1287853,FEDRATINIB,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,2019.0,5.67,5.44,5.56,0.23,4.24,4.26,4.24,0.094,0.094,0.223,False
CHEMBL1079604,METAXALONE,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,1962.0,5.85,5.41,5.63,0.44,4.42,4.24,4.24,0.105,0.094,0.19,False
