clean_smiles,pIC50_ido1,pIC50_tdo2,ido1_molid,tdo2_molid,src_doc,year,same_doc,M,D,scaffold
COC1CCCC(CC(O)c2c(C3CC3)sc3cncn23)C1,7.392544976785332,5.73754891026957,CHEMBL5781737,CHEMBL5781737,CHEMBL5729017,2022,True,6.5650469435274506,1.6549960665157615,c1ncn2c(CCC3CCCCC3)c(C3CC3)sc12
COC1CCN(C(=O)c2ccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)cc2)CC1,5.797784224198868,6.679853713888946,CHEMBL3628603,CHEMBL3628603,CHEMBL3627649,2015,True,6.238818969043907,-0.8820694896900774,O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(C(=O)N2CCCCC2)cc1
COCCn1c2nc(=O)n(-c3ccccc3)c(=O)c-2nc2ccccc21,4.62397081827182,4.472112434047295,CHEMBL1875561,CHEMBL1875561,CHEMBL4811262,2021,True,4.5480416261595575,0.1518583842245249,O=c1nc2[nH]c3ccccc3nc-2c(=O)n1-c1ccccc1
COCCn1cc(-c2ccc(N3CCC(C4c5c(F)cccc5-c5cncn54)CC3)cc2)cn1,7.440093374963888,6.663540266151471,CHEMBL5763272,CHEMBL5763272,CHEMBL5728241,2021,True,7.051816820557679,0.7765531088124167,c1ccc2c(c1)-c1cncn1C2C1CCN(c2ccc(-c3cn[nH]c3)cc2)CC1
COCc1sc2cncn2c1C(O)C1CCCCC1,6.128427064454121,6.485452247339714,CHEMBL5774022,CHEMBL5774022,CHEMBL5729017,2022,True,6.306939655896917,-0.35702518288559215,c1sc2cncn2c1CC1CCCCC1
COP(C)(=O)NCCCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,7.320376412755153,5.478861916295964,CHEMBL4436582,CHEMBL4436582,CHEMBL4406833,2019,True,6.399619164525559,1.8415144964591894,N=C(Nc1ccccc1)c1cnon1
COP(C)(=O)NCCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,7.026872146400302,5.585026652029182,CHEMBL4791168,CHEMBL4791168,CHEMBL4732103,2020,True,6.305949399214741,1.4418454943711199,N=C(Nc1ccccc1)c1cnon1
COP(C)(=O)NCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,7.489322643459289,5.402304814074488,CHEMBL4514196,CHEMBL4514196,CHEMBL4406833,2019,True,6.445813728766888,2.087017829384801,N=C(Nc1ccccc1)c1cnon1
COc1cc(CNc2cc(Br)cc3[nH]ncc23)c([N+](=O)[O-])cc1OC,4.734003629504921,5.982966660701219,CHEMBL5196298,CHEMBL5196298,CHEMBL5108015,2022,True,5.35848514510307,-1.2489630311962987,c1ccc(CNc2cccc3[nH]ncc23)cc1
COc1cc(Nc2c(N)oc3cnccc23)ccc1Cl,6.698970004336019,6.301029995663981,CHEMBL4290511,CHEMBL4290511,CHEMBL4257081,2016,True,6.5,0.3979400086720375,c1ccc(Nc2coc3cnccc23)cc1
COc1cc(Nc2cc(NC(C)=O)cc3[nH]c(C(=O)O)cc23)cc(OC)c1OC,5.497572880015567,5.147520006363144,CHEMBL4749277,CHEMBL4749277,CHEMBL4680135,2020,True,5.322546443189355,0.3500528736524231,c1ccc(Nc2cccc3[nH]ccc23)cc1
COc1cc(Nc2cc(NC(C)=O)cc3[nH]c(C(=O)O)cc23)ccc1F,5.910094888560602,5.603800652904264,CHEMBL4779207,CHEMBL4779207,CHEMBL4680135,2020,True,5.756947770732433,0.3062942356563383,c1ccc(Nc2cccc3[nH]ccc23)cc1
COc1cc(Nc2ccc(F)c3[nH]c(C(=O)O)cc23)cc(OC)c1OC,4.653647025549361,4.632644078973981,CHEMBL4791116,CHEMBL4791116,CHEMBL4680135,2020,True,4.643145552261672,0.021002946575380044,c1ccc(Nc2cccc3[nH]ccc23)cc1
COc1cc(Nc2ccc(F)c3[nH]c(C(=O)O)cc23)ccc1F,4.2644011003018205,4.503070351926785,CHEMBL4793667,CHEMBL4793667,CHEMBL4680135,2020,True,4.383735726114303,-0.23866925162496422,c1ccc(Nc2cccc3[nH]ccc23)cc1
COc1cc2c(Nc3ccc(F)c(Cl)c3)c(N)oc2c(-c2ccc(F)cc2)n1,6.698970004336019,6.301029995663981,CHEMBL4290549,CHEMBL4290549,CHEMBL4257081,2016,True,6.5,0.3979400086720375,c1ccc(Nc2coc3c(-c4ccccc4)nccc23)cc1
COc1ccc(-c2cc3ccc(OC)c(O)c3cn2)cc1,5.475042282163251,6.346787486224656,CHEMBL5619903,CHEMBL5619903,CHEMBL5614442,2024,True,5.910914884193954,-0.8717452040614049,c1ccc(-c2cc3ccccc3cn2)cc1
COc1ccc(-c2cc3ccc(OC)c(OC)c3cn2)cc1,4.95311480916229,5.565431095965801,CHEMBL5620121,CHEMBL5620121,CHEMBL5614442,2024,True,5.259272952564046,-0.6123162868035106,c1ccc(-c2cc3ccccc3cn2)cc1
COc1ccc(-c2sc3cncn3c2C(O)C2CCCCC2)cc1,5.510041520575165,5.701146923590294,CHEMBL5885631,CHEMBL5885631,CHEMBL5729017,2022,True,5.605594222082729,-0.19110540301512824,c1ccc(-c2sc3cncn3c2CC2CCCCC2)cc1
COc1ccc(C(O)c2c(C3CC3)sc3cncn23)cc1,7.060980223551334,5.6439741428068775,CHEMBL5835163,CHEMBL5835163,CHEMBL5729017,2022,True,6.352477183179106,1.4170060807444562,c1ccc(Cc2c(C3CC3)sc3cncn23)cc1
COc1ccc(C2c3c(C)n[nH]c3Oc3[nH]nc(N)c32)cc1O,6.913640169325252,5.522878745280337,CHEMBL3936225,CHEMBL3936225,CHEMBL3865851,2016,True,6.2182594573027945,1.3907614240449142,c1ccc(C2c3cn[nH]c3Oc3[nH]ncc32)cc1
COc1ccc(CNc2cc(-c3nnc(N4CCC(C5c6c(F)cccc6-c6cncn65)CC4)s3)ccn2)cc1,7.97469413473523,6.982966660701219,CHEMBL5777653,CHEMBL5777653,CHEMBL5728241,2021,True,7.478830397718225,0.9917274740340103,c1ccc(CNc2cc(-c3nnc(N4CCC(C5c6ccccc6-c6cncn65)CC4)s3)ccn2)cc1
COc1ccc(Cl)cc1Nc1c(N)oc2cnccc12,6.698970004336019,6.301029995663981,CHEMBL4283091,CHEMBL4283091,CHEMBL4257081,2016,True,6.5,0.3979400086720375,c1ccc(Nc2coc3cnccc23)cc1
COc1ccc(Nc2cc(NC(C)=O)cc3[nH]c(C(=O)O)cc23)cc1,5.767003889607846,5.521433504406157,CHEMBL4762616,CHEMBL4762616,CHEMBL4680135,2020,True,5.644218697007002,0.24557038520168906,c1ccc(Nc2cccc3[nH]ccc23)cc1
COc1ccc(Nc2cc(NC(C)=O)cc3[nH]c(C(=O)O)cc23)cn1,5.467245621007502,5.441291429466834,CHEMBL4755902,CHEMBL4755902,CHEMBL4680135,2020,True,5.454268525237168,0.025954191540668248,c1cncc(Nc2cccc3[nH]ccc23)c1
COc1ccc(Nc2cc(NC(C)=O)cc3[nH]c(C(=O)O)cc23)nc1,5.325138859262188,5.278189384787454,CHEMBL4793007,CHEMBL4793007,CHEMBL4680135,2020,True,5.301664122024821,0.04694947447473474,c1ccc(Nc2cccc3[nH]ccc23)nc1
COc1ccc(Nc2ccc(F)c(Cl)c2)c2cc(C(=O)O)[nH]c12,4.489454989793388,4.709965388637482,CHEMBL4762621,CHEMBL4762621,CHEMBL4680135,2020,True,4.599710189215434,-0.22051039884409374,c1ccc(Nc2cccc3[nH]ccc23)cc1
COc1ccc2c(c1)C(=O)c1nnn(-c3ccc(F)c(Cl)c3)c1C2=O,6.787812395596042,6.978810700930062,CHEMBL4786114,CHEMBL4786114,CHEMBL4706547,2020,True,6.883311548263052,-0.19099830533401985,O=C1c2ccccc2C(=O)c2c1nnn2-c1ccccc1
