clean_smiles,pIC50,molecule_chembl_id,n,pref_name,pains,MW,LogP,TPSA,QED,scaffold
Fc1cccc2c1C(C1CCN(c3ccc(N4CCOCC4)cc3)CC1)n1cncc1-2,5.987584625237567,CHEMBL4435398,1,,True,418.5160000000002,4.345200000000004,33.53,0.6334942635689902,c1ccc2c(c1)-c1cncn1C2C1CCN(c2ccc(N3CCOCC3)cc2)CC1
Fc1cccc2c1C(C1CCN(c3ccccc3)C1)n1cncc1-2,6.590066876668706,CHEMBL5915735,1,,False,319.383,4.118500000000004,21.060000000000002,0.7083493350629315,c1ccc(N2CCC(C3c4ccccc4-c4cncn43)C2)cc1
Fc1cccc2c1C(C1CCN(c3ccccc3)CC1)n1cncc1-2,6.471083299722345,CHEMBL4470496,2,,False,333.41,4.508600000000004,21.060000000000002,0.6879408030559285,c1ccc(N2CCC(C3c4ccccc4-c4cncn43)CC2)cc1
Fc1cccc2c1C(C1CCN(c3nc4ccccc4s3)CC1)n1cncc1-2,6.709965388637482,CHEMBL4553360,1,,False,390.48700000000014,5.118300000000003,33.95,0.4764541722632971,c1ccc2c(c1)-c1cncn1C2C1CCN(c2nc3ccccc3s2)CC1
Fc1cccc2c1C(C1CCN(c3ncc(-c4cnn(C5CCOCC5)c4)cn3)CC1)n1cncc1-2,6.442492798094342,CHEMBL6019482,1,,False,485.5670000000003,4.513600000000004,73.89000000000001,0.42343448465368994,c1ccc2c(c1)-c1cncn1C2C1CCN(c2ncc(-c3cnn(C4CCOCC4)c3)cn2)CC1
Fc1cccc2c1C(C1CCN(c3ncc(Br)s3)CC1)n1cncc1-2,6.399027104313252,CHEMBL5827288,1,,False,419.3230000000001,4.727600000000003,33.95,0.6026090948885114,c1ccc2c(c1)-c1cncn1C2C1CCN(c2nccs2)CC1
Fc1cccc2c1C(C1CCN(c3nccs3)CC1)n1cncc1-2,6.23210238398191,CHEMBL4441377,1,,False,340.4270000000001,3.9651000000000023,33.95,0.7078824111792672,c1ccc2c(c1)-c1cncn1C2C1CCN(c2nccs2)CC1
Fc1cccc2c1C(C1CCOCC1)n1cncc1-2,6.723538195826756,CHEMBL4549778,1,,False,258.29599999999994,3.018600000000001,27.05,0.7858425822864646,c1ccc2c(c1)-c1cncn1C2C1CCOCC1
Fc1cccc2c1C(Cc1ccccc1)n1cncc1-2,6.100726812682396,CHEMBL4571179,1,,False,264.30300000000005,3.8347000000000024,17.82,0.6874167339296288,c1ccc(CC2c3ccccc3-c3cncn32)cc1
Fc1cccc2c1C(c1ccccc1)n1cncc1-2,6.42712839779952,CHEMBL4531639,1,,False,250.27600000000004,3.6403000000000025,17.82,0.5040407029685808,c1ccc(C2c3ccccc3-c3cncn32)cc1
