molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_units,standard_value,pchembl_value,document_chembl_id,data_validity_comment
CHEMBL1395,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,IC50,,,,,CHEMBL1909046,
CHEMBL1395,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,Ki,,,,,CHEMBL1909046,
CHEMBL917,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,IC50,,,,,CHEMBL1909046,
CHEMBL917,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,Ki,,,,,CHEMBL1909046,
CHEMBL189171,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,IC50,,,,,CHEMBL1909046,
CHEMBL189171,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Ki,,,,,CHEMBL1909046,
CHEMBL1483,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,IC50,,,,,CHEMBL1909046,
CHEMBL1483,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,Ki,,,,,CHEMBL1909046,
CHEMBL283196,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,IC50,,,,,CHEMBL1909046,
CHEMBL283196,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,Ki,,,,,CHEMBL1909046,
CHEMBL629,CN(C)CCC=C1c2ccccc2CCc2ccccc21,IC50,,,,,CHEMBL1909046,
CHEMBL629,CN(C)CCC=C1c2ccccc2CCc2ccccc21,Ki,,,,,CHEMBL1909046,
CHEMBL116,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,IC50,,,,,CHEMBL1909046,
CHEMBL116,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,Ki,,,,,CHEMBL1909046,
CHEMBL426123,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,IC50,,,,,CHEMBL1909046,
CHEMBL426123,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,Ki,,,,,CHEMBL1909046,
CHEMBL1230333,O=C(O)CCCc1cccs1,IC50,,,,,CHEMBL1909046,
CHEMBL1230333,O=C(O)CCCc1cccs1,Ki,,,,,CHEMBL1909046,
CHEMBL47,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,IC50,,,,,CHEMBL1909046,
CHEMBL47,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,Ki,,,,,CHEMBL1909046,
CHEMBL1046,NCCCCCC(=O)O,IC50,,,,,CHEMBL1909046,
CHEMBL1046,NCCCCCC(=O)O,Ki,,,,,CHEMBL1909046,
CHEMBL1909050,Cc1ccccc1C(=O)N1CCC(Cc2ccccc2)CC1,IC50,,,,,CHEMBL1909046,
CHEMBL1909050,Cc1ccccc1C(=O)N1CCC(Cc2ccccc2)CC1,Ki,,,,,CHEMBL1909046,
CHEMBL311469,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,IC50,,,,,CHEMBL1909046,
CHEMBL311469,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,Ki,,,,,CHEMBL1909046,
CHEMBL1425,Sc1ncnc2nc[nH]c12,IC50,=,nM,16242.0,4.79,CHEMBL1909046,
CHEMBL1425,Sc1ncnc2nc[nH]c12,Ki,,,,,CHEMBL1909046,
CHEMBL112,CC(=O)Nc1ccc(O)cc1,IC50,,,,,CHEMBL1909046,
CHEMBL112,CC(=O)Nc1ccc(O)cc1,Ki,,,,,CHEMBL1909046,
CHEMBL870,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,IC50,,,,,CHEMBL1909046,
CHEMBL870,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,Ki,,,,,CHEMBL1909046,
CHEMBL1491,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,IC50,,,,,CHEMBL1909046,
CHEMBL1491,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,Ki,,,,,CHEMBL1909046,
CHEMBL12856,Nc1cc(-c2ccncc2)c[nH]c1=O,IC50,,,,,CHEMBL1909046,
CHEMBL12856,Nc1cc(-c2ccncc2)c[nH]c1=O,Ki,,,,,CHEMBL1909046,
CHEMBL1909051,O=C(c1ccccc1C(F)(F)F)N1CCC(Cc2ccccc2)CC1,IC50,,,,,CHEMBL1909046,
CHEMBL1909051,O=C(c1ccccc1C(F)(F)F)N1CCC(Cc2ccccc2)CC1,Ki,,,,,CHEMBL1909046,
CHEMBL661,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,IC50,,,,,CHEMBL1909046,
CHEMBL661,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,Ki,,,,,CHEMBL1909046,
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,IC50,,,,,CHEMBL1909046,
