molecule_chembl_id,pref_name,clean_smiles,first_approval,pred_IDO1,pred_TDO2,pred_M,pred_D,LCB_IDO1,LCB_TDO2,LCB_dual,P_dual_active,P_balanced_dual,AD_maxTanimoto,in_domain,LCB_dual_standard,LCB_dual_normalized,LCB_dual_pacr,AD_dist_to_paired,PACR_chem_dist_to_ptr,PACR_doc_dist_to_ptr
CHEMBL3989908,ENASIDENIB,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1,2017.0,5.36,5.11,5.23,0.25,3.93,3.93,3.93,0.033,0.033,0.203,False,4.22759493418608,4.310712577034919,4.1120092242102,0.7972973,0.8181818,0.8492241650819778
CHEMBL64894,GENTIAN VIOLET,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,1982.0,5.31,5.19,5.25,0.12,3.88,4.01,3.88,0.033,0.033,0.167,False,4.198433315100819,4.316365289035768,4.111949739687316,0.8333333,0.8833333,0.9032258093357086
CHEMBL1200679,ZINC CHLORIDE,[Zn+2],1986.0,5.26,5.17,5.22,0.09,3.84,4.0,3.84,0.033,0.033,0.029,False,4.159582254144351,4.29752306434162,4.11181120115744,0.9705882,0.9705882,0.9710084032267332
CHEMBL989,FLUOCINOLONE ACETONIDE,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1963.0,5.63,5.47,5.55,0.15,4.2,4.3,4.2,0.099,0.099,0.193,False,4.535112783223848,4.364637625686939,4.111740779547638,0.8068182,0.8095238,0.809523805975914
CHEMBL4250860,DANICOPAN,CC(=O)c1nn(CC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc2cccc(Br)n2)c2ccc(-c3cnc(C)nc3)cc12,2024.0,5.87,5.51,5.69,0.37,4.45,4.33,4.33,0.144,0.133,0.204,False,4.650967517161942,4.380656693528305,4.111642463347163,0.7962963,0.81904763,0.828828826546669
CHEMBL871,ETIDRONIC ACID,CC(O)(P(=O)(O)O)P(=O)(O)O,1977.0,5.28,5.15,5.22,0.13,3.85,3.97,3.85,0.028,0.028,0.102,False,4.107902435023204,4.279200912548772,4.111545958836232,0.8979592,0.91525424,0.9200000017881393
CHEMBL2096648,UREA C 13,N[13C](N)=O,1996.0,5.31,5.16,5.24,0.16,3.89,3.98,3.89,0.033,0.033,0.128,False,4.11165563392337,4.272475648721706,4.111455368938774,0.8717949,0.8888889,0.9318181797862053
CHEMBL985,UREA,NC(N)=O,1982.0,5.31,5.16,5.24,0.16,3.89,3.98,3.89,0.033,0.033,0.128,False,4.11165563392337,4.272475648721706,4.111455368938774,0.8717949,0.8888889,0.9318181797862053
CHEMBL2063090,GRAZOPREVIR ANHYDROUS,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1C[C@H]1CCCCCc1nc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1,2016.0,6.27,5.48,5.88,0.79,4.85,4.3,4.3,0.171,0.144,0.184,False,4.461290405702892,4.418839208196045,4.111404505869261,0.8161765,0.8161765,0.8303104639053345
CHEMBL1201746,PRALATREXATE,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,2009.0,5.59,5.19,5.39,0.4,4.16,4.01,4.01,0.044,0.039,0.172,False,4.424262557195554,4.374825420697692,4.111240379110515,0.827957,0.8372093,0.8783855736255646
