split_seed,method,tau,feature_set,n_proper_train,n_calibration,n_test,theta_M,theta_D,coverage_IDO1,width_IDO1,coverage_TDO2,width_TDO2,coverage_M,width_M,coverage_D,width_D,ad_q1_coverage_IDO1,ad_q4_coverage_IDO1,ad_coverage_mad_IDO1,ad_q1_width_IDO1,ad_q4_width_IDO1,doc_q1_coverage_IDO1,doc_q4_coverage_IDO1,doc_coverage_mad_IDO1,doc_q1_width_IDO1,doc_q4_width_IDO1,width_error_corr_IDO1,deck_max_LCB_dual,deck_n_clear_dual,deck_top_pref_name,tau_label
2,pacr_chem,0.65,chem,222,145,317,0;0,0;0,0.9116719242902208,2.243001417995218,0.8391167192429022,2.0676606661822743,0.8738170347003155,1.813794716821119,0.917981072555205,2.617643059695544,0.9125,0.8734177215189873,0.02496044303797465,1.8756965098290226,2.5491863905991217,0.9375,0.8987341772151899,0.03184335443037972,1.8998944558783961,2.5359796889656314,0.24910884538718053,5.052122454816079,0,OSILODROSTAT,0.65
2,pacr_doc,0.65,doc,222,145,317,0;0,0;0,0.9116719242902208,2.243001417995218,0.8391167192429022,2.0676606661822743,0.8738170347003155,1.813794716821119,0.917981072555205,2.617643059695544,0.9125,0.8734177215189873,0.02496044303797465,1.8756965098290226,2.5491863905991217,0.9375,0.8987341772151899,0.03184335443037972,1.8998944558783961,2.5359796889656314,0.24910884538718053,5.052122454816079,0,OSILODROSTAT,0.65
2,pacr_chem_doc,0.65,chem_doc,222,145,317,0;0;0,0;0;0,0.9116719242902208,2.243001417995218,0.8391167192429022,2.0676606661822743,0.8738170347003155,1.813794716821119,0.917981072555205,2.617643059695544,0.9125,0.8734177215189873,0.02496044303797465,1.8756965098290226,2.5491863905991217,0.9375,0.8987341772151899,0.03184335443037972,1.8998944558783961,2.5359796889656314,0.24910884538718053,5.052122454816079,0,OSILODROSTAT,0.65
2,pacr_chem,0.7,chem,222,145,317,0;0,0;0.05777,0.9148264984227129,2.2555207179015593,0.8391167192429022,2.0752005928524104,0.8738170347003155,1.813794716821119,0.9211356466876972,2.6636784141791616,0.9125,0.8860759493670886,0.021795886075949344,1.8756965098290226,2.5843277640489157,0.9375,0.9113924050632911,0.03437499999999996,1.9001091875579328,2.570305957614095,0.2538469441416419,5.0418098088249605,0,OSILODROSTAT,0.70
2,pacr_doc,0.7,doc,222,145,317,0;0,0;0.04973,0.9148264984227129,2.2536472501702622,0.8391167192429022,2.074094183419661,0.8738170347003155,1.813794716821119,0.9211356466876972,2.657089819571764,0.9125,0.8860759493670886,0.021795886075949344,1.8763146518096785,2.57839392968758,0.9375,0.9113924050632911,0.03437499999999996,1.8998944558783961,2.5651350023035455,0.25330063575147155,5.043237988990866,0,OSILODROSTAT,0.70
2,pacr_chem_doc,0.7,chem_doc,222,145,317,0;0;0,0;0.05777;0,0.9148264984227129,2.255520410238273,0.8391167192429022,2.0752003964941808,0.8738170347003155,1.813794716821119,0.9211356466876972,2.6636773284637134,0.9125,0.8860759493670886,0.021795886075949344,1.8756965098290226,2.584326897268335,0.9375,0.9113924050632911,0.03437499999999996,1.9001091826224108,2.57030510855767,0.2538468420931875,5.041810052042357,0,OSILODROSTAT,0.70
2,pacr_chem,0.75,chem,222,145,317,0;0,0;0.1603,0.917981072555205,2.280153048963151,0.8391167192429022,2.092446282047916,0.8738170347003155,1.813794716821119,0.9305993690851735,2.7453686763858007,0.9125,0.8987341772151899,0.01863132911392401,1.8756965098290226,2.653507546907676,0.9375,0.9113924050632911,0.031210443037974656,1.9004977923459727,2.6385930036470207,0.2639528379286234,5.0160712080241545,0,OSILODROSTAT,0.75
2,pacr_doc,0.75,doc,222,145,317,0;0,0;0.1325,0.917981072555205,2.273003288346721,0.8391167192429022,2.0873766896299477,0.8738170347003155,1.813794716821119,0.9274447949526814,2.7227360347098992,0.9125,0.8987341772151899,0.01863132911392401,1.8772760372620954,2.6315307224178204,0.9375,0.9113924050632911,0.031210443037974656,1.8998944558783961,2.6190425440263687,0.26131276117073104,5.025193363998573,0,OSILODROSTAT,0.75
2,pacr_chem_doc,0.75,chem_doc,222,145,317,0;0;0,0;0.08823;0.07687,0.917981072555205,2.2811385714276065,0.8391167192429022,2.0933271635568014,0.8738170347003155,1.813794716821119,0.9305993690851735,2.7489223151502347,0.9125,0.8987341772151899,0.01863132911392401,1.876635355809715,2.6551187788812065,0.9375,0.9113924050632911,0.031210443037974656,1.9002242663706592,2.6414793009051754,0.264594405440371,5.014131814044374,0,OSILODROSTAT,0.75
2,pacr_chem,0.8,chem,222,145,317,0;0.1038,0;0.2457,0.9211356466876972,2.346470471379644,0.8485804416403786,2.154222098461762,0.8738170347003155,1.871408409290448,0.9369085173501577,2.813447183928268,0.9125,0.8987341772151899,0.021795886075949344,1.8756965098290226,2.831622707531792,0.9375,0.9113924050632911,0.02804588607594935,1.901272038765152,2.8138466893653287,0.28317396657167093,4.91107747494872,0,OSILODROSTAT,0.80
