clean_smiles,pIC50_cox1,src_doc_cox1,molid_cox1,pIC50_cox2,src_doc_cox2,molid_cox2,M,D,scaffold,src_doc
CC(C)(C)c1cc(-c2nsc(O)n2)cc(C(C)(C)C)c1O,6.37,CHEMBL1132622,CHEMBL279308,5.96,CHEMBL1132622,CHEMBL279308,6.165,0.41000000000000014,c1ccc(-c2ncsn2)cc1,CHEMBL1132622
CC(C)(C)c1cc(/C=C2/SC(N)=NC2=O)cc2c1OCC2(C)C,5.3,CHEMBL1131087,CHEMBL326362,5.52,CHEMBL1131087,CHEMBL326362,5.41,-0.21999999999999975,O=C1N=CSC1=Cc1ccc2c(c1)CCO2,CHEMBL1131087
CC(C)(C)c1cc(/C=C2\CCOC2=O)cc2c1OCC2(C)C,7.35,CHEMBL1131087,CHEMBL2112567,8.46,CHEMBL1131087,CHEMBL2112567,7.905,-1.1100000000000012,O=C1OCCC1=Cc1ccc2c(c1)CCO2,CHEMBL1131087
CC(C)(C)c1cc(/C=C2\NC(=S)NC2=O)cc(C(C)(C)C)c1O,6.0,CHEMBL1132621,CHEMBL15945,6.58,CHEMBL1132621,CHEMBL15945,6.29,-0.5800000000000001,O=C1NC(=S)NC1=Cc1ccccc1,CHEMBL1132621
CC(C)(C)c1cc(/C=C2\OC(=O)NC2=O)cc(C(C)(C)C)c1O,5.92,CHEMBL1132621,CHEMBL48568,4.47,CHEMBL1132621,CHEMBL48568,5.195,1.4500000000000002,O=C1NC(=O)C(=Cc2ccccc2)O1,CHEMBL1132621
CC(C)(C)c1cc(/C=C2\OC(N=C(N)N)=NC2=O)cc(C(C)(C)C)c1O,5.36,CHEMBL1132621,CHEMBL15781,5.29,CHEMBL1132621,CHEMBL15781,5.325,0.07000000000000028,O=C1N=COC1=Cc1ccccc1,CHEMBL1132621
CC(C)(C)c1cc(/C=C2\SC(=O)NC2=O)cc(C(C)(C)C)c1O,5.03,CHEMBL1132621,CHEMBL49008,5.33,CHEMBL1132621,CHEMBL49008,5.18,-0.2999999999999998,O=C1NC(=O)C(=Cc2ccccc2)S1,CHEMBL1132621
CC(C)(C)c1cc(/C=C2\SC(N=C(N)N)=NC2=O)cc(C(C)(C)C)c1O,6.6,CHEMBL1132621,CHEMBL16434,4.68,CHEMBL1132621,CHEMBL16434,5.64,1.92,O=C1N=CSC1=Cc1ccccc1,CHEMBL1132621
CC(C)(C)c1cc(/C=C2\SC(NO)=NC2=O)cc(C(C)(C)C)c1O,5.04,CHEMBL1132621,CHEMBL277721,5.82,CHEMBL1132621,CHEMBL277721,5.43,-0.7800000000000002,O=C1N=CSC1=Cc1ccccc1,CHEMBL1132621
CC(C)(C)c1cc(/C=C\c2cccs2)cc2c1OCC2(C)C,7.7,CHEMBL1131087,CHEMBL117911,7.46,CHEMBL1131087,CHEMBL117911,7.58,0.2400000000000002,C(=Cc1cccs1)c1ccc2c(c1)CCO2,CHEMBL1131087
CC(C)(C)c1cc(C(=O)/C=C/CC2CC2)cc2c1OCC2(C)C,6.1,CHEMBL1131314,CHEMBL13988,6.6,CHEMBL1131314,CHEMBL13988,6.35,-0.5,O=C(C=CCC1CC1)c1ccc2c(c1)CCO2,CHEMBL1131314
CC(C)(C)c1cc(C(=O)CCCC2CC2)cc2c1OCC2,5.3,CHEMBL1131303,CHEMBL279166,4.82,CHEMBL1131303,CHEMBL279166,5.0600000000000005,0.47999999999999954,O=C(CCCC1CC1)c1ccc2c(c1)CCO2,CHEMBL1131303
CC(C)(C)c1cc(C(=O)CCCC2CC2)cc2c1OCC2(C)C,5.16,CHEMBL1131303,CHEMBL13623,6.66,CHEMBL1131303,CHEMBL13623,5.91,-1.5,O=C(CCCC1CC1)c1ccc2c(c1)CCO2,CHEMBL1131303
